author,title,year,opening_line
V. V. Ganeshananthan,Brotherless Night,2023,I recently sent a letter to a terrorist I used to know.
Jim Geraghty,Gathering Five Storms,2022,"By every measure, the operation was a success, but it marked the first time Katrina Leonidivna had ever vomited on her target."
Tess Gerritson,The Spy Coast,2023,"Paris, ten days ago. She used to be the golden girl."
Malcolm Gladwell,The Bomber Mafia,2021,"There was a time when the world’s largest airport sat in the middle of the western Pacific, around 1,500 miles from the coast of Japan, on one of a cluster of small tropical islands known as the Marianas. Guam. Saipan. Tinian."
Graham Greene,The End of the Affair,1951,"A story has no beginning or end: arbitrarily one chooses that moment of experience from which to look back or from which, to look ahead."
Kristin Hannah,The Nightingale,2015,"If I have learned anything in this long life of mine, it is this: In love we find out who we want to be; in war we find out who we are."
Joseph Heller,Catch-22,1961,It was love at first sight.
Ernest Hemingway,A Farewell to Arms,1929,"In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains. In the bed of the river there were pebbles and boulders, dry and white in the sun, and the water was clear and swiftly moving and blue in the channels. Troops went by the house and down the road and the dust they raised powdered the leaves of the trees. The trunks of the trees too were dusty and the leaves fell early that year and we saw the troops marching along the road and the dust rising and leaves, stirred by the breeze, falling and the soldiers marching and afterward the road bare and white except for the leaves."
Ernest Hemingway,For Whom the Bell Tolls,1940,"He lay flat on the brown, pine-needled floor of the forest, his chin on his folded arms, and high overhead the wind blew in the tops of the pine trees."
Mick Herron,The Secret Hours,2023,The worst smell in the world is dead badger.
John Hersey,The New Yorker,2020,"At exactly fifteen minutes past eight in the morning, on August 6, 1945, Japanese time, at the moment when the atomic bomb flashed on Hiroshima, Miss Toshiko Sasaki, a clerk in the personnel department of the East Asia Tin Works, had just sat down at her place in the patent office and was turning her head to speak to the girl at the next desk."
Jack Higgins,The Eagle Has Landed,1975,"At precisely one o’clock on the morning of Saturday, 6, November 1943, Heinrich Himmler, Reichführer of the SS and Chief of state Police, received a simple message: “The Eagle has landed.”"
William Bradford Huie,The Revolt of Mamie Stover,1951,"A six-foot-tall, yellow-haired whore from Mississippi was the most successful revolutionary of the Second War. Her name was Mamie Stover."
Pam Jenoff,Code Name Sapphire,2023,"Micheline threw the still-smoldering Gauloises cigarette to the ground and crushed it with the high heel of her black leather boot. Then she marched across the darkened Paris street and grabbed the man she’d never seen before by the lapels, throwing him back against the stained brick wall of the station. “Kiss me!” she ordered in English, whispering tersely."
Thomas Keneally,Schindler’s Ark,1982,"In Poland’s deepest autumn, a tall young man in an expensive overcoat, double-breasted dinner jacket beneath it and—in the lapel of the dinner jacket—a large ornamental gold-on-black enamel swastika, emerged from a fashionable apartment block in Straszewskiego Street on the edge of the ancient center of Crakow, and saw his chauffeur waiting with fuming breath by the open door of an enormous and, even in this blackened world, lustrous Adler limousine. “Watch the pavement, Herr Schindler,” said the chauffeur. “It’s icy like a widow’s heart.”"
Philip Kerr,The Other Side of Silence,2016,Yesterday I tried to kill myself. It wasn’t that I wanted to die as much as the fact that I wanted the pain to stop.
Phil Klay,Redeployment,2014,"We shot dogs. Not by accident. We did it on purpose, and we called it Operation Scooby. I’m a dog person, so I thought a lot about that."
Rachel Kushner,Creation Lake,2024,"Neanderthals were prone to depression, he said. He said they were prone to addiction, too, and especially smoking."
Chris Kyle,An American Sniper,,"Every story has a beginning. Mine starts in north-central Texas. I grew up in small towns where I learned the importance of family and traditional values, like patriotism, self-reliance, and watching out for your family and neighbors."
Elmore Leonard,Pagan Babies,2000,"The church had become a tomb where forty-seven bodies turned to leather and stains had been lying on the concrete floor the past five years, though not lying where they had been shot with Kalashnikovs or hacked to death with machetes."
Charlie Lovett,The Enigma Affair,2022,It wasn’t just the bullet passing by Patton’s left ear that concerned her.
Robert Ludlum,The Bourne Identity,1980,"The trawler plunged into the angry swells of the dark, furious sea like an awkward animal trying desperately to break out of an impenetrable swamp."
Ruth Madievsky,All-Night Pharmacy,2023,"Spending time with my sister, Debbie, was like buying acid off a guy you met on a bus."
Norman Mailer,The Naked and the Dead,1948,"Nobody could sleep. When morning came, assault craft would be lowered and a first wave of troops would ride through the surf and charge ashore on the beach at Anopopei. All over the ship, all through the convoy, there was a knowledge that in a few hours some of them were going to be dead."
Javier Marías,Tomás Nevinson,,"I was brought up the old-fashioned way, and could never have dreamed that one day I would be ordered to kill a woman."
James Michener,The Bridges at Toko-Ri,1953,"The sea was bitter cold. From the vast empty plains of Siberia howling winds roared down to lash the mountains of Korea, where American soldiers lost on patrol froze into stiff and awkward forms."
James Michener,Legacy,1987,"My bad luck started just before Christmas 1985. But at the time, as so often happens, it seemed like good luck."
Andrew Miller,The Slowworm’s Coming,2022,I have had the letter just over a week now and I look at it every day.
Margaret Mitchell,Gone With the Wind,1936,"Scarlett O’Hara was not beautiful, but men seldom realized it when caught by her charms as the Tarleton twins were."
David Morrell,First Blood,1972,"His name was Rambo, and he was just some nothing kid for all anybody knew, standing by the pump of a gas station at the outskirts of Madison, Kentucky. He had a long heavy beard, and his hair was hanging down over his ears to his neck, and he had his hand out trying to thumb a ride from a car that was stopped at the pump. To see him there, leaning on one hip, a Coke bottle in his hand and a rolled-up sleeping bag near his boots on the tar pavement, you could never have guessed that on Tuesday, a day later, most of the police in Basalt County would be hunting him down."
